mp_id,category,config,nmae,seconds,grid,mass_captured,effective_threshold
mp-1804635,intermetallic,cutoff-top-100pct,2.136375441210321e-08,0.006554416992003098,"(128, 128, 128)",1.0,8.877842903137207
mp-1804635,intermetallic,fourier-lowg-0.25pct,0.132213613457701,0.021711707988288254,"(128, 128, 128)",,
mp-1804635,intermetallic,fourier-lowg-0.5pct,0.030224108345905585,0.022025749989552423,"(128, 128, 128)",,
mp-1804635,intermetallic,fourier-lowg-1pct,0.008508240020608765,0.022106916992925107,"(128, 128, 128)",,
mp-1804635,intermetallic,fourier-lowg-5pct,0.001107363875022151,0.02277566702105105,"(128, 128, 128)",,
mp-1804635,intermetallic,fourier-lowg-25pct,0.00024659271881940435,0.023627249989658594,"(128, 128, 128)",,
mp-1804635,intermetallic,fourier-lowg-100pct,6.510141980754145e-08,0.022790333023294806,"(128, 128, 128)",,
mp-1804635,intermetallic,delta-fourier-lowg-0.25pct,0.06801601115126281,0.28268904201104306,"(128, 128, 128)",,
mp-1804635,intermetallic,delta-fourier-lowg-0.5pct,0.030445170383974447,0.49584950000280514,"(128, 128, 128)",,
mp-1804635,intermetallic,delta-fourier-lowg-1pct,0.008684432440759974,0.2890994579938706,"(128, 128, 128)",,
mp-1804635,intermetallic,delta-fourier-lowg-5pct,0.0011366916347739912,0.3075073749932926,"(128, 128, 128)",,
mp-1804635,intermetallic,delta-fourier-lowg-25pct,0.000281227058147205,0.3523866250179708,"(128, 128, 128)",,
mp-1894288,oxide,direct,2.1359618638689545e-08,0.0007358749862760305,"(128, 128, 128)",,
mp-1894288,oxide,cutoff-top-1pct,0.7480147120201391,0.00629787499201484,"(128, 128, 128)",0.2519853115081787,3644.22802734375
mp-1894288,oxide,cutoff-top-5pct,0.39435953503986576,0.005592708010226488,"(128, 128, 128)",0.6056405305862427,959.0018310546875
mp-1894288,oxide,cutoff-top-25pct,0.061593527384687846,0.007813832984538749,"(128, 128, 128)",0.9384065270423889,115.67357635498047
mp-1894288,oxide,cutoff-top-100pct,2.1359618638689545e-08,0.006898417021147907,"(128, 128, 128)",1.0,-156.06756591796875
mp-1894288,oxide,fourier-lowg-0.25pct,0.49064794630134334,0.02498320900485851,"(128, 128, 128)",,
mp-1894288,oxide,fourier-lowg-0.5pct,0.2934930832314433,0.023257499997271225,"(128, 128, 128)",,
mp-1894288,oxide,fourier-lowg-1pct,0.13915297377297553,0.024643208016641438,"(128, 128, 128)",,
mp-1894288,oxide,fourier-lowg-5pct,0.011595435377090716,0.023791000014171004,"(128, 128, 128)",,
mp-1894288,oxide,fourier-lowg-25pct,0.0007961680515443791,0.024346541991690174,"(128, 128, 128)",,
mp-1894288,oxide,fourier-lowg-100pct,6.646193358223339e-08,0.022719166008755565,"(128, 128, 128)",,
mp-1894288,oxide,delta-fourier-lowg-0.25pct,0.5882623666426634,1.707925124996109,"(128, 128, 128)",,
mp-1894288,oxide,delta-fourier-lowg-0.5pct,0.30643245683110804,1.8209736669959966,"(128, 128, 128)",,
mp-1894288,oxide,delta-fourier-lowg-1pct,0.13490203813504195,1.6281755840172991,"(128, 128, 128)",,
mp-1894288,oxide,delta-fourier-lowg-5pct,0.011588526359555457,1.6007898329989985,"(128, 128, 128)",,
mp-1894288,oxide,delta-fourier-lowg-25pct,0.0007961678478892978,1.7332732919894625,"(128, 128, 128)",,
mp-1786695,intermetallic,direct,2.107258488444592e-08,0.0008317909960169345,"(128, 128, 128)",,
mp-1786695,intermetallic,cutoff-top-1pct,0.7408698467415575,0.0052360830013640225,"(128, 128, 128)",0.2591301500797272,1117.325439453125
mp-1786695,intermetallic,cutoff-top-5pct,0.3601011056878808,0.005755166988819838,"(128, 128, 128)",0.6398988962173462,243.248779296875
mp-1786695,intermetallic,cutoff-top-25pct,0.17646544227850922,0.008534499997040257,"(128, 128, 128)",0.8235345482826233,20.173450469970703
mp-1786695,intermetallic,cutoff-top-100pct,2.107258488444592e-08,0.006491790991276503,"(128, 128, 128)",1.0,8.744328498840332
mp-1786695,intermetallic,fourier-lowg-0.25pct,0.09688156517699686,0.022062416013795882,"(128, 128, 128)",,
mp-1786695,intermetallic,fourier-lowg-0.5pct,0.020693252855030753,0.020980041997972876,"(128, 128, 128)",,
mp-1786695,intermetallic,fourier-lowg-1pct,0.008214255633457762,0.021177834016270936,"(128, 128, 128)",,
mp-1786695,intermetallic,fourier-lowg-5pct,0.0013598054824460878,0.02184195799054578,"(128, 128, 128)",,
mp-1786695,intermetallic,fourier-lowg-25pct,0.0007700898023129416,0.022968207980738953,"(128, 128, 128)",,
mp-1786695,intermetallic,fourier-lowg-100pct,6.184291839460312e-08,0.022779624996474013,"(128, 128, 128)",,
mp-1786695,intermetallic,delta-fourier-lowg-0.25pct,0.09063497858987317,0.2814503749832511,"(128, 128, 128)",,
mp-1786695,intermetallic,delta-fourier-lowg-0.5pct,0.02068937697870208,0.28158845799043775,"(128, 128, 128)",,
